"Date","Geo Port","Inflation"
"1970-09-11",8556.26,10364.28
"1970-09-14",8519.16,10369.58
"1970-09-15",8465.79,10371.35
"1970-09-16",8536.55,10373.12
"1970-09-17",8640.47,10374.89
"1970-09-18",8717.64,10376.66
"1970-09-21",8653.46,10381.96
"1970-09-22",8637.89,10383.73
"1970-09-23",8759.03,10385.5
"1970-09-24",8822.33,10387.27
"1970-09-25",8881.59,10389.04
"1970-09-28",8873.12,10394.34
"1970-09-29",8905.69,10396.11
"1970-09-30",8946.56,10397.88
"1970-10-01",8937.51,10399.59
"1970-10-02",9039.41,10401.3
"1970-10-05",9240.4,10406.43
"1970-10-06",9289.93,10408.15
"1970-10-07",9297.84,10409.86
"1970-10-08",9139.82,10411.57
"1970-10-09",9053.36,10413.28
"1970-10-12",8954.85,10418.41
"1970-10-13",8916.67,10420.12
"1970-10-14",8897.15,10421.84
"1970-10-15",8939.46,10423.55
"1970-10-16",8854.62,10425.26
"1970-10-19",8760.93,10430.39
"1970-10-20",8793.91,10432.1
"1970-10-21",8779.23,10433.82
"1970-10-22",8719.2,10435.53
"1970-10-23",8797.25,10437.24
"1970-10-26",8735.62,10442.37
"1970-10-27",8738.56,10444.08
"1970-10-28",8749.17,10445.79
"1970-10-29",8764.49,10447.51
"1970-10-30",8719.61,10449.22
"1970-11-02",8770.45,10454.47
"1970-11-03",8800.71,10456.23
"1970-11-04",8820.3,10458
"1970-11-05",8793.23,10459.77
"1970-11-06",8829.85,10461.54
"1970-11-09",8909.38,10466.84
"1970-11-10",8880.39,10468.61
"1970-11-11",8876.52,10470.38
"1970-11-12",8840.78,10472.15
"1970-11-13",8697.39,10473.92
"1970-11-16",8676.17,10479.22
"1970-11-17",8688.31,10480.99
"1970-11-18",8620.19,10482.76
"1970-11-19",8707.8,10484.53
"1970-11-20",8936.2,10486.3
"1970-11-23",9001.22,10491.6
"1970-11-24",8968.98,10493.37
"1970-11-25",8978.23,10495.14
"1970-11-27",9061.64,10498.67
"1970-11-30",9192.43,10503.98
"1970-12-01",9271.15,10505.69
"1970-12-02",9428.37,10507.4
"1970-12-03",9503.05,10509.11
"1970-12-04",9581.39,10510.82
"1970-12-07",9600.85,10515.96
"1970-12-08",9557.89,10517.67
"1970-12-09",9486.16,10519.38
"1970-12-10",9517.07,10521.09
"1970-12-11",9572.39,10522.8
"1970-12-14",9497.44,10527.94
"1970-12-15",9444.66,10529.65
"1970-12-16",9408.43,10531.36
"1970-12-17",9444.78,10533.07
"1970-12-18",9476.05,10534.78
"1970-12-21",9450.91,10539.92
"1970-12-22",9448.6,10541.63
"1970-12-23",9444.83,10543.34
"1970-12-24",9526.76,10545.05
"1970-12-28",9596.64,10551.9
"1970-12-29",9661.11,10553.61
"1970-12-30",9696.15,10555.32
"1970-12-31",9677.35,10557.03
"1971-01-04",9571.68,10557.03
"1971-01-05",9692.94,10557.03
"1971-01-06",9766.71,10557.03
"1971-01-07",9791.63,10557.03
"1971-01-08",9807.96,10557.03
"1971-01-11",9813.16,10557.03
"1971-01-12",9909.39,10557.03
"1971-01-13",9875.37,10557.03
"1971-01-14",9913.96,10557.03
"1971-01-15",9931.85,10557.03
"1971-01-18",10047.85,10557.03
"1971-01-19",10088.05,10557.03
"1971-01-20",10039.7,10557.03
"1971-01-21",10081.44,10557.03
"1971-01-22",10186.58,10557.03
"1971-01-25",10288.74,10557.03
"1971-01-26",10295.22,10557.03
"1971-01-27",10263.17,10557.03
"1971-01-28",10313.52,10557.03
"1971-01-29",10398.73,10557.03
"1971-02-01",10471.68,10557.98
"1971-02-02",10448.77,10558.92
"1971-02-03",10463.21,10559.87
"1971-02-04",10461.05,10560.82
"1971-02-05",10557.35,10561.77
"1971-02-08",10677.12,10564.61
"1971-02-09",10629.68,10565.56
"1971-02-10",10627.48,10566.5
"1971-02-11",10703.2,10567.45
"1971-02-12",10725.82,10568.4
"1971-02-16",10753.44,10572.19
"1971-02-17",10658.06,10573.13
"1971-02-18",10604.72,10574.08
"1971-02-19",10542.98,10575.03
"1971-02-22",10427.01,10577.87
"1971-02-23",10436.19,10578.82
"1971-02-24",10544.15,10579.77
"1971-02-25",10610.48,10580.71
"1971-02-26",10524.48,10581.66
"1971-03-01",10553.48,10584.41
"1971-03-02",10592.53,10585.27
"1971-03-03",10605.02,10586.12
"1971-03-04",10745.87,10586.98
"1971-03-05",10884.37,10587.83
"1971-03-08",10966.22,10590.4
"1971-03-09",11082.29,10591.26
"1971-03-10",11131.63,10592.11
"1971-03-11",11204.14,10592.97
"1971-03-12",11268.22,10593.82
"1971-03-15",11437.75,10596.39
"1971-03-16",11485.9,10597.24
"1971-03-17",11453.63,10598.1
"1971-03-18",11416.66,10598.96
"1971-03-19",11388.52,10599.81
"1971-03-22",11370.94,10602.38
"1971-03-23",11394.55,10603.23
"1971-03-24",11264.59,10604.09
"1971-03-25",11255.99,10604.95
"1971-03-26",11275.19,10605.8
"1971-03-29",11270.33,10608.37
"1971-03-30",11306.17,10609.22
"1971-03-31",11245.3,10610.08
"1971-04-01",11291.07,10610.96
"1971-04-02",11276.14,10611.85
"1971-04-05",11299.13,10614.5
"1971-04-06",11388.53,10615.38
"1971-04-07",11453.89,10616.27
