Monthly Start Date,Total Nominal Return (%),"Inferred Regime ID (0=Low, 2=High)"
1885-04-21,-1.0576907058891565,1.0
1885-05-20,0.7123346993098039,1.0
1885-06-18,4.743213137557507,1.0
1885-07-17,5.989213293995615,1.0
1885-08-17,-1.7785356062586992,1.0
1885-09-15,8.291408238340168,1.0
1885-10-14,8.326785569500817,1.0
1885-11-13,-3.692797440289847,1.0
1885-12-15,1.608429270281184,1.0
1886-01-15,2.835111739443837,1.0
1886-02-15,-3.3793036146127147,1.0
1886-03-17,-0.6809676548305719,1.0
1886-04-15,-3.177540968165479,1.0
1886-05-17,5.379695640243212,1.0
1886-06-16,1.5671670070203128,0.0
1886-07-16,1.887744560641663,0.0
1886-08-16,2.615503609787796,0.0
1886-09-14,1.7527611798640188,0.0
1886-10-13,3.2818303520200462,0.0
1886-11-12,-0.8655857819741173,0.0
1886-12-14,-2.059940666277072,0.0
1887-01-12,1.3938349908548382,1.0
1887-02-10,0.12138978795755549,1.0
1887-03-14,3.09756949523801,1.0
1887-04-13,0.5198555466566774,0.0
1887-05-12,0.2903408258693349,0.0
1887-06-13,-4.98223176668776,0.0
1887-07-13,-2.2900962456128267,1.0
1887-08-11,1.326779304275003,1.0
1887-09-12,-6.010651814623413,1.0
1887-10-11,2.0068215113024785,1.0
1887-11-10,1.3786427428947405,1.0
1887-12-12,1.1392069341605424,1.0
1888-01-12,-1.180730353562593,0.0
1888-02-10,-1.332888032202188,0.0
1888-03-15,-2.3004934349984967,0.0
1888-04-16,3.6092797240298533,0.0
1888-05-15,-3.973634850938386,0.0
1888-06-14,6.186166583107059,0.0
1888-07-16,5.219358750293565,0.0
1888-08-14,1.8735991543681854,0.0
1888-09-13,-0.30487257753495955,0.0
1888-10-12,-1.0429658637272972,0.0
1888-11-13,-2.246250668508141,0.0
1888-12-14,4.157722529685161,0.0
1889-01-16,1.26128350836797,0.0
1889-02-14,-2.88789820336881,0.0
1889-03-18,2.079368779442434,0.0
1889-04-16,3.128649846914981,0.0
1889-05-21,2.7580414782096767,0.0
1889-06-20,-4.007857561660888,0.0
1889-07-22,3.63840189596343,0.0
1889-08-20,3.4502614969794387,0.0
1889-09-19,-1.650380788434896,0.0
1889-10-18,2.239723990623033,0.0
1889-11-19,-0.598466019175308,0.0
1889-12-19,0.26958731721678153,0.0
1890-01-21,-0.16276360330731487,0.0
1890-02-19,-0.4995303098396681,0.0
1890-03-20,1.5188909690326158,0.0
1890-04-21,8.205004999166556,0.0
1890-05-20,-2.8716731599459306,0.0
1890-06-19,0.2458522878256235,0.0
1890-07-21,-2.036643323166479,0.0
1890-08-19,-2.7166796207315285,0.0
1890-09-18,-5.23316265760971,1.0
1890-10-17,-10.621136808835162,1.0
1890-11-18,1.296431464773504,2.0
1890-12-18,6.633815318475598,2.0
1891-01-20,0.849975372418771,1.0
1891-02-18,-1.7559600480275221,0.0
1891-03-20,5.699983578636562,0.0
1891-04-21,-4.526777137751154,0.0
1891-05-20,1.3986979357244427,0.0
1891-06-18,-0.31240460196524156,0.0
1891-07-17,-1.381995935282108,0.0
1891-08-17,11.406876196500662,1.0
1891-09-16,-1.5060816598013402,1.0
1891-10-15,-0.32529193038245574,1.0
1891-11-16,1.8325756023521678,1.0
1891-12-16,3.3361839393343957,0.0
1892-01-18,3.948896149324037,0.0
1892-02-16,-0.22450716701809562,0.0
1892-03-17,-0.35670891380504155,0.0
1892-04-18,-1.948452444735444,0.0
1892-05-17,-0.4642976558041366,0.0
1892-06-16,-1.7025902510126623,0.0
1892-07-18,2.1842974488724987,0.0
1892-08-16,-4.47031662738356,0.0
1892-09-15,4.370129375323616,0.0
1892-10-17,-1.3623064962463607,0.0
1892-11-17,-3.2906393093190616,0.0
1892-12-19,4.013427794805087,0.0
1893-01-19,-2.669028220985576,0.0
1893-02-17,-6.70964704089441,0.0
1893-03-21,0.09746827696649296,1.0
1893-04-20,-4.900375869077392,1.0
1893-05-22,-4.952436800718602,1.0
1893-06-21,-11.509121647744523,1.0
1893-07-21,-7.033271729604945,2.0
1893-08-21,13.241836153867371,2.0
1893-09-20,-1.7119606081694028,1.0
1893-10-19,5.45472435462743,1.0
1893-11-20,-0.9072873620080805,1.0
1893-12-20,-0.1470070876616325,1.0
1894-01-22,0.16037926400329483,1.0
1894-02-20,5.28883889249279,0.0
1894-03-22,0.7725156978079066,0.0
1894-04-23,-6.5541662016419355,0.0
1894-05-22,1.2093540522979445,0.0
1894-06-21,-0.22865941149468233,0.0
1894-07-23,7.491111350752023,0.0
1894-08-21,-1.618938714580275,0.0
1894-09-20,-3.9562212762968763,0.0
1894-10-19,-0.2796463994306554,0.0
1894-11-20,-1.2632061031116024,0.0
1894-12-20,-0.7891711449003115,0.0
1895-01-22,-2.462791959185953,0.0
1895-02-20,3.2956464049122376,0.0
1895-03-22,6.018178112363041,0.0
1895-04-23,7.195197068722281,0.0
1895-05-22,1.9827077345035846,1.0
1895-06-21,0.7482827183300478,0.0
1895-07-23,2.8768866846668613,0.0
1895-08-21,1.6342659241900286,0.0
1895-09-20,-0.7859954873547813,1.0
1895-10-21,-5.773509560145632,1.0
1895-11-20,-3.365248592957767,1.0
1895-12-20,-7.222015927107273,2.0
1896-01-22,9.579175014785248,2.0
1896-02-21,-2.1555870498451153,1.0
1896-03-23,2.0180274703067393,1.0
1896-04-22,-2.5064267740192143,0.0
1896-05-21,-0.1944276314806881,0.0
1896-06-19,-16.093601523639936,1.0
1896-07-20,-2.6419707802272776,2.0
1896-08-18,3.904368985000339,2.0
